train_Set 1 ; test_Set 2 ; OOV ; KL_Divergence;
train_ftb;test_foot;49.62092494313874 % ;0.4453937170061589;
train_ftb;test_natdis;37.09380748007358 % ;0.43987732779666605;
train_ftb;test_ftb;21.056373793803964 % ;0.21863080408144603;
train_ftb;test_gsd;25.598991172761664 % ;0.426930215680518;
train_ftb;test_partut;9.079754601226995 % ;0.4671577990076992;
train_ftb;test_pud;31.279147235176545 % ;0.36618134015114057;
train_ftb;test_sequoia;25.39356605065024 % ;0.4243422827793159;
train_ftb;test_spoken;21.767676767676765 % ;0.4333099609469616;
train_gsd;test_foot;42.0773313115997 % ;0.3579630396269279;
train_gsd;test_natdis;32.127529123237274 % ;0.3520941034201913;
train_gsd;test_ftb;30.604367699339768 % ;0.16446819165817705;
train_gsd;test_gsd;17.843631778058008 % ;0.3389388986005789;
train_gsd;test_partut;9.69325153374233 % ;0.37774651860633773;
train_gsd;test_pud;23.001332445036642 % ;0.281388003480933;
train_gsd;test_sequoia;22.72416153319644 % ;0.33743117758621016;
train_gsd;test_spoken;17.474747474747474 % ;0.34540497264303593;
train_partut;test_foot;76.49734647460197 % ;0.03905810003471664;
train_partut;test_natdis;67.50459840588596 % ;0.030716194084626537;
train_partut;test_ftb;76.68867445403758 % ;0.057840729119472696;
train_partut;test_gsd;65.95208070617906 % ;0.011131698893508934;
train_partut;test_partut;27.73006134969325 % ;0.022697486288700934;
train_partut;test_pud;72.65156562291806 % ;0.006867717206371662;
train_partut;test_sequoia;61.841204654346335 % ;0.01071183540938857;
train_partut;test_spoken;61.16161616161616 % ;0.014784853716945531;
train_pud;test_foot;76.49734647460197 % ;0.03905810003471664;
train_pud;test_natdis;67.50459840588596 % ;0.030716194084626537;
train_pud;test_ftb;76.68867445403758 % ;0.057840729119472696;
train_pud;test_gsd;65.95208070617906 % ;0.011131698893508934;
train_pud;test_partut;27.73006134969325 % ;0.022697486288700934;
train_pud;test_pud;72.65156562291806 % ;0.006867717206371662;
train_pud;test_sequoia;61.841204654346335 % ;0.01071183540938857;
train_pud;test_spoken;61.16161616161616 % ;0.014784853716945531;
train_sequoia;test_foot;65.42835481425323 % ;0.057729678373510736;
train_sequoia;test_natdis;55.18087063151441 % ;0.05224697770357048;
train_sequoia;test_ftb;64.7232097511427 % ;0.018846037998156352;
train_sequoia;test_gsd;51.48171500630517 % ;0.03615128695944922;
train_sequoia;test_partut;27.23926380368098 % ;0.05554442961598318;
train_sequoia;test_pud;58.49433710859427 % ;0.017667294064468392;
train_sequoia;test_sequoia;29.123887748117728 % ;0.03361942494055526;
train_sequoia;test_spoken;47.22222222222222 % ;0.04120213032406345;
train_spoken;test_foot;76.57316148597423 % ;0.03521397601991889;
train_spoken;test_natdis;72.22562844880441 % ;0.03171566949912411;
train_spoken;test_ftb;85.79989842559675 % ;0.14994106899810683;
train_spoken;test_gsd;74.52711223203026 % ;0.008245232868474296;
train_spoken;test_partut;62.69938650306749 % ;0.011880406865896734;
train_spoken;test_pud;81.42904730179879 % ;0.020375908115930298;
train_spoken;test_sequoia;76.31759069130733 % ;0.009568513063887573;
train_spoken;test_spoken;60.505050505050505 % ;0.00316061315771597;
